IN_FID,NEAR_FID,NEAR_DIST,NEAR_DIST_KILOMETERS,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE,FID_,a_DATEADDE,NewsDate,GLOBALEVEN,ActionGeo_,ActionGeo1,ActionGe_1,ActionGe_2,SQLDATE,SOURCEURL
0,4,536879.00971700000,536.87900971700,6,-74.70000000000,26.20000000000,-80.05340000000,26.71530000000,-82.70716185270,4,20190901000000,9/1/2019,869664333,US,3,26.71530000000,-80.05340000000,20190901,https://www.eveningtimes.co.uk/news/17872823.hurricane-dorian-menaces-bahamas-en-route-florida/
0,47,536879.00971700000,536.87900971700,6,-74.70000000000,26.20000000000,-80.05340000000,26.71530000000,-82.70716185270,47,20190901013000,9/1/2019,869679251,US,3,26.71530000000,-80.05340000000,20190901,https://www.elesquiu.com/internacionales/2019/8/31/el-huracan-dorian-impredecible-llegaria-florida-con-menos-potencia-aunque-se-mantiene-la-alerta-maxima-333455.html
0,63,536879.00971700000,536.87900971700,6,-74.70000000000,26.20000000000,-80.05340000000,26.71530000000,-82.70716185270,63,20190901021500,9/1/2019,869681073,US,3,26.71530000000,-80.05340000000,20190901,http://www.southeastsun.com/home/article_33eb587e-cc48-11e9-ba6e-bb266ff4e7c0.html
0,68,536879.00971700000,536.87900971700,6,-74.70000000000,26.20000000000,-80.05340000000,26.71530000000,-82.70716185270,68,20190901024500,9/1/2019,869683959,US,3,26.71530000000,-80.05340000000,20190901,https://peakoil.com/forums/viewtopic.php?p=1427381
0,87,536879.00971700000,536.87900971700,6,-74.70000000000,26.20000000000,-80.05340000000,26.71530000000,-82.70716185270,87,20190901034500,9/1/2019,869688806,US,3,26.71530000000,-80.05340000000,20190901,https://www.timesunion.com/living/article/Evacuations-begin-as-Dorian-bears-down-14405159.php
0,169,536879.00971700000,536.87900971700,6,-74.70000000000,26.20000000000,-80.05340000000,26.71530000000,-82.70716185270,169,20190901130000,9/1/2019,869747892,US,3,26.71530000000,-80.05340000000,20190901,https://www.yoursun.com/sebring/dorian-bears-down-on-bahamas/article_7d1bebba-cc45-11e9-a867-cb5cd25b148e.html
0,204,536879.00971700000,536.87900971700,6,-74.70000000000,26.20000000000,-80.05340000000,26.71530000000,-82.70716185270,204,20190901151500,9/1/2019,869763193,US,3,26.71530000000,-80.05340000000,20190901,https://www.fox5dc.com/news/hurricane-dorian-upgraded-to-category-5-storm
0,229,536879.00971700000,536.87900971700,6,-74.70000000000,26.20000000000,-80.05340000000,26.71530000000,-82.70716185270,229,20190901171500,9/1/2019,869777225,US,3,26.71530000000,-80.05340000000,20190901,https://observer-reporter.com/ap/national/florida-county-orders-dorian-evacuations/article_bd4ef1bb-c124-567a-bd75-d9c2da2b3555.html
0,231,536879.00971700000,536.87900971700,6,-74.70000000000,26.20000000000,-80.05340000000,26.71530000000,-82.70716185270,231,20190901171500,9/1/2019,869777179,US,3,26.71530000000,-80.05340000000,20190901,https://www.9news.com.au/world/hurricane-dorian-strikes-the-bahamas/c80f87ea-f160-47e9-ae44-28f63ce26d04
0,270,536879.00971700000,536.87900971700,6,-74.70000000000,26.20000000000,-80.05340000000,26.71530000000,-82.70716185270,270,20190901184500,9/1/2019,869786888,US,3,26.71530000000,-80.05340000000,20190901,https://www.seattlepi.com/news/world/article/Cutting-it-close-Florida-s-fate-may-be-a-matter-14405992.php
0,275,536879.00971700000,536.87900971700,6,-74.70000000000,26.20000000000,-80.05340000000,26.71530000000,-82.70716185270,275,20190901191500,9/1/2019,869790579,US,3,26.71530000000,-80.05340000000,20190901,https://globalnews.ca/news/5843428/hurricane-dorian-florida-miles/
0,276,536879.00971700000,536.87900971700,6,-74.70000000000,26.20000000000,-80.05340000000,26.71530000000,-82.70716185270,276,20190901191500,9/1/2019,869790572,US,3,26.71530000000,-80.05340000000,20190901,https://www.actionnewsjax.com/news/florida/cutting-it-close-floridas-fate-may-be-a-matter-of-miles/981562491
0,293,536879.00971700000,536.87900971700,6,-74.70000000000,26.20000000000,-80.05340000000,26.71530000000,-82.70716185270,293,20190901194500,9/1/2019,869792693,US,3,26.71530000000,-80.05340000000,20190901,https://989myfm.iheart.com/featured/operation-storm-watch/content/2019-09-01-tolls-suspended-ahead-of-hurricane-dorian/
0,330,536879.00971700000,536.87900971700,6,-74.70000000000,26.20000000000,-80.05340000000,26.71530000000,-82.70716185270,330,20190901211500,9/1/2019,869799996,US,3,26.71530000000,-80.05340000000,20190901,https://heavy.com/news/2019/09/will-hurricane-dorian-hit-west-palm-beach-forecast/
0,253,539543.95143300000,539.54395143300,15,-74.70000000000,26.20000000000,-80.09980000000,26.31840000000,-87.41274453020,253,20190901180000,9/1/2019,869782201,US,3,26.31840000000,-80.09980000000,20190901,https://www.wunderground.com/cat6/Historic-Catastrophic-Hurricane-Dorian-Pounding-Bahamas-185-mph-Winds
0,327,539543.95143300000,539.54395143300,15,-74.70000000000,26.20000000000,-80.09980000000,26.31840000000,-87.41274453020,327,20190901210000,9/1/2019,869799330,US,3,26.31840000000,-80.09980000000,20190901,https://www.orlandoecho.com/news/262275422/dorian-to-remain-a-catastrophic-hurricane-for-next-few-days
0,365,539543.95143300000,539.54395143300,15,-74.70000000000,26.20000000000,-80.09980000000,26.31840000000,-87.41274453020,365,20190901220000,9/1/2019,869804697,US,3,26.31840000000,-80.09980000000,20190901,https://www.ksl.com/article/46629848/the-latest-bahamas-overturned-cars-lines-down-roofs-torn
0,79,540307.76910500000,540.30776910500,17,-74.70000000000,26.20000000000,-80.09050000000,26.68780000000,-83.06294839710,79,20190901031500,9/1/2019,869686473,US,3,26.68780000000,-80.09050000000,20190901,https://www.nbcnews.com/news/us-news/hundreds-florida-nursing-homes-don-t-meet-requirements-ahead-dorian-n1048381?cid=public-rss_20190901
0,289,543057.99422300000,543.05799422300,22,-74.70000000000,26.20000000000,-80.12230000000,25.96700000000,-91.52953816770,289,20190901193000,9/1/2019,869793061,US,3,25.96700000000,-80.12230000000,20190901,https://www.lifo.gr/now/world/249831/oi-mpaxames-sto-mati-toy-ntorian-o-panisxyros-tyfonas-xtypa-ton-tropiko-paradeiso
0,5,544263.25780400000,544.26325780400,25,-74.70000000000,26.20000000000,-80.14340000000,26.12230000000,-89.70479162610,5,20190901000000,9/1/2019,869664332,US,3,26.12230000000,-80.14340000000,20190901,https://www.heraldmailmedia.com/news/nation/tropical-storm-watch-issued-for-parts-of-florida/article_0811e681-2c41-5eb3-9c43-259a9a5fb12f.html
0,56,544263.25780400000,544.26325780400,25,-74.70000000000,26.20000000000,-80.14340000000,26.12230000000,-89.70479162610,56,20190901014500,9/1/2019,869679107,US,3,26.12230000000,-80.14340000000,20190901,https://www.wenatcheeworld.com/hurricane-dorian-s-latest-path-steers-clear-of-most-of/article_b2c1dd9f-680f-5ae6-948e-48033875b17f.html
0,76,544263.25780400000,544.26325780400,25,-74.70000000000,26.20000000000,-80.14340000000,26.12230000000,-89.70479162610,76,20190901031500,9/1/2019,869688240,US,3,26.12230000000,-80.14340000000,20190901,https://www.canalantigua.tv/dorian-estados-unidos-potentes-vientos/
